YEAR,MONTH,STORE,DAYPART,CATEGORY_ID,REVENUE_NET,QTY
2019,5,5,L,10,12300,1910
2019,6,5,B,10,21800,3630
2019,6,5,D,10,3900,610
2019,6,5,L,10,13800,2150
2018,1,6,B,10,23000,4240
2018,1,6,D,10,5100,810
2018,1,6,L,10,19100,3190
2018,2,6,B,10,23200,4200
2018,2,6,D,10,4700,750
2018,2,6,L,10,17000,2800
2018,3,6,B,10,24700,4490
2018,3,6,D,10,5700,920
2018,3,6,L,10,17000,2840
2018,4,6,B,10,25000,4540
2018,4,6,D,10,5300,850
2018,4,6,L,10,16700,2800
2018,5,6,B,10,26300,4750
2018,5,6,D,10,4900,790
2018,5,6,L,10,16200,2700
2018,6,6,B,10,26800,4860
2018,6,6,D,10,4900,780
2018,6,6,L,10,16300,2720
2018,7,6,B,10,28400,5050
2018,7,6,D,10,4600,750
2018,7,6,L,10,21200,3460
2018,8,6,B,10,24000,4390
2018,8,6,D,10,4600,750
2018,8,6,L,10,16400,2710
2018,9,6,B,10,24000,4320
2018,9,6,D,10,4400,700
2018,9,6,L,10,16300,2650
2018,10,6,B,10,24600,4440
2018,10,6,D,10,4200,680
2018,10,6,L,10,17600,2870
2018,11,6,B,10,24200,4370
2018,11,6,D,10,4300,690
2018,11,6,L,10,14700,2430
2018,12,6,B,10,25500,4580
2018,12,6,D,10,4800,760
2018,12,6,L,10,17700,2930
2019,1,6,B,10,22400,3950
2019,1,6,D,10,4900,760
2019,1,6,L,10,17900,2910
2019,2,6,B,10,19700,3400
2019,2,6,D,10,4200,650
2019,2,6,L,10,16200,2590
2019,3,6,B,10,22300,3920
2019,3,6,D,10,4300,660
2019,3,6,L,10,16000,2580
2019,4,6,B,10,21800,3810
2019,4,6,D,10,4000,640
2019,4,6,L,10,15900,2550
2019,5,6,B,10,23600,4090
2019,5,6,D,10,3700,580
2019,5,6,L,10,14200,2310
2019,6,6,B,10,23000,3940
2019,6,6,D,10,4400,700
2019,6,6,L,10,15800,2560
2018,1,7,B,10,25200,4830
2018,1,7,D,10,6600,1070
2018,1,7,L,10,20100,3410
2018,2,7,B,10,25800,4810
2018,2,7,D,10,6100,990
2018,2,7,L,10,17400,2960
2018,3,7,B,10,26900,5030
2018,3,7,D,10,6600,1050
2018,3,7,L,10,17500,2970
2018,4,7,B,10,28000,5190
2018,4,7,D,10,6000,980
2018,4,7,L,10,18500,3130
2018,5,7,B,10,29400,5440
2018,5,7,D,10,6300,1010
2018,5,7,L,10,17900,3060
2018,6,7,B,10,28300,5250
2018,6,7,D,10,5800,950
2018,6,7,L,10,16000,2740
2018,7,7,B,10,29200,5370
2018,7,7,D,10,5600,920
2018,7,7,L,10,17800,3000
2018,8,7,B,10,29200,5410
2018,8,7,D,10,5800,940
2018,8,7,L,10,18700,3180
2018,9,7,B,10,29000,5300
2018,9,7,D,10,5500,890
2018,9,7,L,10,18200,3090
2018,10,7,B,10,29400,5390
2018,10,7,D,10,5600,900
2018,10,7,L,10,19300,3250
2018,11,7,B,10,30000,5410
2018,11,7,D,10,6000,970
2018,11,7,L,10,17600,2970
2018,12,7,B,10,31900,5710
2018,12,7,D,10,6800,1090
2018,12,7,L,10,21600,3640
2019,1,7,B,10,26000,4700
2019,1,7,D,10,6800,1060
2019,1,7,L,10,21100,3490
2019,2,7,B,10,24700,4330
2019,2,7,D,10,6300,980
2019,2,7,L,10,18800,3040
2019,3,7,B,10,27500,4850
2019,3,7,D,10,6500,1030
2019,3,7,L,10,19500,3160
2019,4,7,B,10,27400,4820
2019,4,7,D,10,5200,840
2019,4,7,L,10,17500,2880
2019,5,7,B,10,28600,5020
2019,5,7,D,10,5600,890
2019,5,7,L,10,16600,2690
2019,6,7,B,10,28400,4930
2019,6,7,D,10,5400,870
2019,6,7,L,10,16500,2660
2018,1,8,B,10,13700,2510
2018,1,8,D,10,2800,450
2018,1,8,L,10,11700,1960
2018,2,8,B,10,13300,2380
2018,2,8,D,10,2700,430
2018,2,8,L,10,9000,1510
2018,3,8,B,10,14400,2630
2018,3,8,D,10,3100,500
2018,3,8,L,10,9800,1660
2018,4,8,B,10,16300,2930
2018,4,8,D,10,2700,440
2018,4,8,L,10,10200,1690
2018,5,8,B,10,17500,3180
2018,5,8,D,10,3000,480
2018,5,8,L,10,10500,1730
2018,6,8,B,10,17500,3140
2018,6,8,D,10,3100,500
2018,6,8,L,10,9400,1580
2018,7,8,B,10,19800,3530
2018,7,8,D,10,2800,450
2018,7,8,L,10,11800,1990
2018,8,8,B,10,17800,3230
2018,8,8,D,10,2900,450
2018,8,8,L,10,10300,1730
2018,9,8,B,10,15400,2770
2018,9,8,D,10,2300,370
2018,9,8,L,10,9700,1640
2018,10,8,B,10,16500,2870
2018,10,8,D,10,2500,390
2018,10,8,L,10,10600,1720
2018,11,8,B,10,15200,2650
2018,11,8,D,10,2300,350
2018,11,8,L,10,9000,1490
2018,12,8,B,10,14700,2580
2018,12,8,D,10,3100,500
2018,12,8,L,10,11600,1900
2019,1,8,B,10,12000,2080
2019,1,8,D,10,2800,420
2019,1,8,L,10,10500,1670
2019,2,8,B,10,11400,1940
2019,2,8,D,10,2500,390
2019,2,8,L,10,9900,1540
2019,3,8,B,10,15400,2610
2019,3,8,D,10,2900,440
2019,3,8,L,10,10500,1650
2019,4,8,B,10,14700,2450
2019,4,8,D,10,2600,390
2019,4,8,L,10,9200,1460
2019,5,8,B,10,13500,2280
2019,5,8,D,10,2300,350
2019,5,8,L,10,8800,1400
2019,6,8,B,10,15900,2630
2019,6,8,D,10,2700,420
2019,6,8,L,10,9300,1470
2018,1,9,B,10,15000,2700
2018,1,9,D,10,2800,430
2018,1,9,L,10,11100,1780
2018,2,9,B,10,14900,2630
2018,2,9,D,10,3000,460
2018,2,9,L,10,10300,1640
2018,3,9,B,10,17900,3180
2018,3,9,D,10,3100,470
2018,3,9,L,10,10500,1680
2018,4,9,B,10,18300,3140
2018,4,9,D,10,2800,440
2018,4,9,L,10,10900,1760
2018,5,9,B,10,19200,3320
2018,5,9,D,10,2800,430
2018,5,9,L,10,10900,1750
2018,6,9,B,10,19300,3350
2018,6,9,D,10,2900,440
2018,6,9,L,10,10100,1650
2018,7,9,B,10,22200,3770
2018,7,9,D,10,2900,440
2018,7,9,L,10,13000,2070
2018,8,9,B,10,19100,3350
2018,8,9,D,10,2600,410
2018,8,9,L,10,10600,1700
2018,9,9,B,10,17900,3100
