STORE,DAYPART,YEAR,MONTH,CUSTOMER_COUNT
8,B,2018,10,4873
8,B,2018,11,4568
8,B,2018,12,4542
8,B,2019,1,3856
8,B,2019,2,3721
8,B,2019,3,4753
8,B,2019,4,4660
8,B,2019,5,4373
8,B,2019,6,5021
8,D,2018,1,4551
8,D,2018,2,4243
8,D,2018,3,4639
8,D,2018,4,4536
8,D,2018,5,4671
8,D,2018,6,4593
8,D,2018,7,4859
8,D,2018,8,5016
8,D,2018,9,4755
8,D,2018,10,5071
8,D,2018,11,4610
8,D,2018,12,5328
8,D,2019,1,4802
8,D,2019,2,3962
8,D,2019,3,4796
8,D,2019,4,4439
8,D,2019,5,4550
8,D,2019,6,4787
8,L,2018,1,6436
8,L,2018,2,5364
8,L,2018,3,5985
8,L,2018,4,5737
8,L,2018,5,6020
8,L,2018,6,5906
8,L,2018,7,6577
8,L,2018,8,6289
8,L,2018,9,5871
8,L,2018,10,6426
8,L,2018,11,5997
8,L,2018,12,6708
8,L,2019,1,6138
8,L,2019,2,5409
8,L,2019,3,6161
8,L,2019,4,5797
8,L,2019,5,5793
8,L,2019,6,5878
9,B,2018,1,4362
9,B,2018,2,4198
9,B,2018,3,4850
9,B,2018,4,5184
9,B,2018,5,5255
9,B,2018,6,5414
9,B,2018,7,5966
9,B,2018,8,5384
9,B,2018,9,4827
9,B,2018,10,5194
9,B,2018,11,4599
9,B,2018,12,4520
9,B,2019,1,4018
9,B,2019,2,3910
9,B,2019,3,4380
9,B,2019,4,4467
9,B,2019,5,4666
9,B,2019,6,4970
9,D,2018,1,3864
9,D,2018,2,3663
9,D,2018,3,3963
9,D,2018,4,3767
9,D,2018,5,3625
9,D,2018,6,3897
9,D,2018,7,3823
9,D,2018,8,3848
9,D,2018,9,3729
9,D,2018,10,3905
9,D,2018,11,3539
9,D,2018,12,3947
9,D,2019,1,3669
9,D,2019,2,3287
9,D,2019,3,4051
9,D,2019,4,3665
9,D,2019,5,3917
9,D,2019,6,4397
9,L,2018,1,5840
9,L,2018,2,5292
9,L,2018,3,5618
9,L,2018,4,5417
9,L,2018,5,5417
9,L,2018,6,5602
9,L,2018,7,6101
9,L,2018,8,5611
9,L,2018,9,5323
9,L,2018,10,5699
9,L,2018,11,4975
9,L,2018,12,5470
9,L,2019,1,5788
9,L,2019,2,5038
9,L,2019,3,5588
9,L,2019,4,5835
9,L,2019,5,5182
9,L,2019,6,5743
10,B,2018,1,6863
10,B,2018,2,6146
10,B,2018,3,7219
10,B,2018,4,7138
10,B,2018,5,7297
10,B,2018,6,7428
10,B,2018,7,7102
10,B,2018,8,7488
10,B,2018,9,7255
10,B,2018,10,7291
10,B,2018,11,7106
10,B,2018,12,7293
10,B,2019,1,6131
10,B,2019,2,5287
10,B,2019,3,6274
10,B,2019,4,6184
10,B,2019,5,6432
10,B,2019,6,5782
10,D,2018,1,7032
10,D,2018,2,6520
10,D,2018,3,7308
10,D,2018,4,6873
10,D,2018,5,7129
10,D,2018,6,7121
10,D,2018,7,6966
10,D,2018,8,7064
10,D,2018,9,7573
10,D,2018,10,7840
10,D,2018,11,6963
10,D,2018,12,6948
10,D,2019,1,6700
10,D,2019,2,5452
10,D,2019,3,6978
10,D,2019,4,6356
10,D,2019,5,6596
10,D,2019,6,6305
10,L,2018,1,8966
10,L,2018,2,7900
10,L,2018,3,8446
10,L,2018,4,8535
10,L,2018,5,8353
